UF,nome_municipio,pop_est,pop_est_2016,geocodigo
MA,Joselândia,16198,15861,2105609
MA,Junco do Maranhão,4392,3330,2105658
MA,Lago da Pedra,50616,49440,2105708
MA,Lago do Junco,10869,10638,2105807
MA,Lago Verde,16314,15962,2105906
MA,Lagoa do Mato,11265,11034,2105922
MA,Lago dos Rodrigues,8857,8689,2105948
MA,Lagoa Grande do Maranhão,11464,11202,2105963
MA,Lajeado Novo,7602,7427,2105989
MA,Lima Campos,11918,11670,2106003
MA,Loreto,12214,11943,2106102
MA,Luís Domingues,6984,6829,2106201
MA,Magalhães de Almeida,20029,19532,2106300
MA,Maracaçumé,21586,21063,2106326
MA,Marajá do Sena,7775,7630,2106359
MA,Maranhãozinho,16511,16062,2106375
MA,Mata Roma,16977,16567,2106409
MA,Matinha,23482,22962,2106508
MA,Matões,33943,33188,2106607
MA,Matões do Norte,17033,16552,2106631
MA,Milagres do Maranhão,8483,8306,2106672
MA,Mirador,21031,20605,2106706
MA,Miranda do Norte,28754,27999,2106755
MA,Mirinzal,15011,14690,2106805
MA,Monção,33664,32884,2106904
MA,Montes Altos,9111,8955,2107001
MA,Morros,19572,19116,2107100
MA,Nina Rodrigues,14642,14259,2107209
MA,Nova Colinas,5427,5298,2107258
MA,Nova Iorque,4682,4589,2107308
MA,Nova Olinda do Maranhão,21080,20588,2107357
MA,Olho d'Água das Cunhãs,19561,19145,2107407
MA,Olinda Nova do Maranhão,14836,14474,2107456
MA,Paço do Lumiar,123747,119915,2107506
MA,Palmeirândia,19781,19359,2107605
MA,Paraibano,21479,21008,2107704
MA,Parnarama,35008,34265,2107803
MA,Passagem Franca,19137,18699,2107902
MA,Pastos Bons,19583,19140,2108009
MA,Paulino Neves,16166,15779,2108058
MA,Paulo Ramos,21066,20635,2108108
MA,Pedreiras,39191,38433,2108207
MA,Pedro do Rosário,25354,24748,2108256
MA,Penalva,38731,37833,2108306
MA,Peri Mirim,14345,14048,2108405
MA,Peritoró,23364,22818,2108454
MA,Pindaré-Mirim,33065,32348,2108504
MA,Pinheiro,83777,81924,2108603
MA,Pio XII,21379,21007,2108702
MA,Pirapemas,18720,18302,2108801
MA,Poção de Pedras,17595,17384,2108900
MA,Porto Franco,24092,23511,2109007
MA,Porto Rico do Maranhão,5955,5847,2109056
MA,Presidente Dutra,48036,46970,2109106
MA,Presidente Juscelino,12838,12532,2109205
MA,Presidente Médici,7070,6902,2109239
MA,Presidente Sarney,19069,18615,2109270
MA,Presidente Vargas,11261,11391,2109304
MA,Primeira Cruz,15431,15068,2109403
MA,Raposa,31177,30304,2109452
MA,Riachão,20334,19771,2109502
MA,Ribamar Fiquene,7825,7652,2109551
MA,Rosário,42994,42016,2109601
MA,Sambaíba,5679,5561,2109700
MA,Santa Filomena do Maranhão,7826,7645,2109759
MA,Santa Helena,42483,41466,2109809
MA,Santa Inês,89489,83759,2109908
MA,Santa Luzia,72887,71329,2110005
MA,Santa Luzia do Paruá,25371,24810,2110039
MA,Santa Quitéria do Maranhão,25764,25192,2110104
MA,Santa Rita,38298,36556,2110203
MA,Santana do Maranhão,13547,13199,2110237
MA,Santo Amaro do Maranhão,16034,15623,2110278
MA,Santo Antônio dos Lopes,14522,14237,2110302
MA,São Benedito do Rio Preto,18717,18319,2110401
MA,São Bento,45604,45560,2110500
MA,São Bernardo,28667,28020,2110609
MA,São Domingos do Azeitão,7420,7259,2110658
MA,São Domingos do Maranhão,34384,33699,2110708
MA,São Félix de Balsas,4562,4484,2110807
MA,São Francisco do Brejão,11941,11633,2110856
MA,São Francisco do Maranhão,12218,11971,2110906
MA,São João Batista,20701,20272,2111003
MA,São João do Carú,15787,15483,2111029
MA,São João do Paraíso,11193,10963,2111052
MA,São João do Soter,18645,18225,2111078
MA,São João dos Patos,25996,25448,2111102
MA,São José de Ribamar,179028,176008,2111201
MA,São José dos Basílios,7640,7489,2111250
MA,São Luís,1108975,1082935,2111300
MA,São Luís Gonzaga do Maranhão,18727,18421,2111409
MA,São Mateus do Maranhão,41579,40791,2111508
MA,São Pedro da Água Branca,12735,12461,2111532
MA,São Pedro dos Crentes,4684,4583,2111573
MA,São Raimundo das Mangabeiras,18980,18548,2111607
MA,São Raimundo do Doca Bezerra,5131,5082,2111631
MA,São Roberto,6789,6620,2111672
MA,São Vicente Ferrer,22350,20800,2111706
MA,Satubinha,14096,13727,2111722
MA,Senador Alexandre Costa,11214,10955,2111748
MA,Senador La Rocque,14050,13975,2111763
MA,Serrano do Maranhão,10299,10953,2111789
MA,Sítio Novo,18160,17760,2111805
MA,Sucupira do Norte,10634,10425,2111904
MA,Sucupira do Riachão,5676,5556,2111953
MA,Tasso Fragoso,8582,8382,2112001
